Sex,MouseID,Day,Hour,AvgActivity
Female,f10,135,9,9.466666666666667
Female,f10,135,10,16.133333333333333
Female,f10,135,11,9.45
Female,f10,135,12,2.533333333333333
Female,f10,135,13,13.6
Female,f10,135,14,8.733333333333333
Female,f10,135,15,2.316666666666667
Female,f10,135,16,6.966666666666667
Female,f10,135,17,3.2333333333333334
Female,f10,135,18,15.1
Female,f10,135,19,1.2833333333333334
Female,f10,135,20,3.1333333333333333
Female,f10,135,21,22.966666666666665
Female,f10,135,22,6.216666666666667
Female,f10,135,23,25.8
Female,f10,136,0,26.466666666666665
Female,f10,136,1,43.583333333333336
Female,f10,136,2,27.316666666666666
Female,f10,136,3,28.0
Female,f10,136,4,36.28333333333333
Female,f10,136,5,39.81666666666667
Female,f10,136,6,43.416666666666664
Female,f10,136,7,53.35
Female,f10,136,8,40.28333333333333
Female,f10,136,9,46.11666666666667
Female,f10,136,10,25.7
Female,f10,136,11,13.233333333333333
Female,f10,136,12,11.916666666666666
Female,f10,136,13,5.766666666666667
Female,f10,136,14,1.35
Female,f10,136,15,7.35
Female,f10,136,16,10.2
Female,f10,136,17,2.2333333333333334
Female,f10,136,18,1.9833333333333334
Female,f10,136,19,18.75
Female,f10,136,20,1.1666666666666667
Female,f10,136,21,21.016666666666666
Female,f10,136,22,8.75
Female,f10,136,23,33.733333333333334
Female,f10,137,0,36.68333333333333
Female,f10,137,1,27.2
Female,f10,137,2,38.11666666666667
Female,f10,137,3,30.05
Female,f10,137,4,33.78333333333333
Female,f10,137,5,6.55
Female,f10,137,6,28.733333333333334
Female,f10,137,7,33.55
Female,f10,137,8,36.38333333333333
Female,f10,137,9,6.566666666666666
Female,f10,137,10,28.683333333333334
Female,f10,137,11,1.95
Female,f10,137,12,1.85
Female,f10,137,13,2.7666666666666666
Female,f10,137,14,14.8
Female,f10,137,15,4.65
Female,f10,137,16,3.2
Female,f10,137,17,5.533333333333333
Female,f10,137,18,40.75
Female,f10,137,19,42.28333333333333
Female,f10,137,20,35.083333333333336
Female,f10,137,21,20.683333333333334
Female,f10,137,22,6.6
Female,f10,137,23,33.13333333333333
Female,f10,138,0,35.31666666666667
Female,f10,138,1,36.666666666666664
Female,f10,138,2,33.333333333333336
Female,f10,138,3,25.85
Female,f10,138,4,11.083333333333334
Female,f10,138,5,38.55
Female,f10,138,6,14.85
Female,f10,138,7,4.633333333333334
Female,f10,138,8,40.8
Female,f10,138,9,44.0
Female,f10,138,10,18.466666666666665
Female,f10,138,11,10.566666666666666
Female,f10,138,12,1.3833333333333333
Female,f10,138,13,5.716666666666667
Female,f10,138,14,12.283333333333333
Female,f10,138,15,1.3166666666666667
Female,f10,138,16,3.066666666666667
Female,f10,138,17,28.966666666666665
Female,f10,138,18,5.15
Female,f10,138,19,9.55
Female,f10,138,20,14.65
Female,f10,138,21,19.283333333333335
Female,f10,138,22,4.683333333333334
Female,f10,138,23,36.7
Female,f10,139,0,39.266666666666666
Female,f10,139,1,50.88333333333333
Female,f10,139,2,48.13333333333333
Female,f10,139,3,40.291644332612414
Female,f10,139,4,36.86666666666667
Female,f10,139,5,45.03333333333333
Female,f10,139,6,41.71666666666667
Female,f10,139,7,42.5
Female,f10,139,8,29.816666666666666
Female,f10,139,9,7.166666666666667
Female,f10,139,10,16.55
Female,f10,139,11,14.116666666666667
Female,f10,139,12,3.0833333333333335
Female,f10,139,13,1.5666666666666667
Female,f10,139,14,3.85
Female,f10,139,15,27.15
Female,f10,139,16,1.6
Female,f10,139,17,3.933333333333333
Female,f10,139,18,10.866666666666667
Female,f10,139,19,16.716666666666665
Female,f10,139,20,2.8833333333333333
Female,f10,139,21,26.716666666666665
Female,f10,139,22,5.183333333333334
Female,f10,139,23,23.233333333333334
Female,f10,140,0,19.066666666666666
Female,f10,140,1,46.416666666666664
Female,f10,140,2,46.35
Female,f10,140,3,40.483333333333334
Female,f10,140,4,26.516666666666666
Female,f10,140,5,18.333333333333332
Female,f10,140,6,32.766666666666666
Female,f10,140,7,42.28333333333333
Female,f10,140,8,40.93333333333333
Female,f10,140,9,43.5
Female,f10,140,10,12.85
Female,f10,140,11,14.283333333333333
Female,f10,140,12,1.6833333333333333
Female,f10,140,13,4.85
Female,f10,140,14,3.566666666666667
Female,f10,140,15,7.45
Female,f10,140,16,4.283333333333333
Female,f10,140,17,3.4
Female,f10,140,18,10.65
Female,f10,140,19,4.016666666666667
Female,f10,140,20,4.416666666666667
Female,f10,140,21,16.9
Female,f10,140,22,7.633333333333334
Female,f10,140,23,38.083333333333336
Female,f11,141,0,19.416666666666668
Female,f11,141,1,49.36666666666667
Female,f11,141,2,40.43333333333333
Female,f11,141,3,35.35
Female,f11,141,4,37.28333333333333
Female,f11,141,5,4.0
Female,f11,141,6,23.5
Female,f11,141,7,21.9
Female,f11,141,8,32.016666666666666
Female,f11,141,9,19.183333333333334
Female,f11,141,10,17.983333333333334
Female,f11,141,11,12.416666666666666
Female,f11,141,12,8.5
Female,f11,141,13,3.1333333333333333
Female,f11,141,14,32.833333333333336
Female,f11,141,15,5.35
Female,f11,141,16,17.85
Female,f11,141,17,5.433333333333334
Female,f11,141,18,1.2833333333333334
Female,f11,141,19,15.733333333333333
Female,f11,141,20,19.233333333333334
Female,f11,141,21,1.6
Female,f11,141,22,12.483333333333333
Female,f11,141,23,15.55
Female,f11,142,0,23.4
Female,f11,142,1,41.38333333333333
Female,f11,142,2,40.4
Female,f11,142,3,32.4
Female,f11,142,4,10.0
Female,f11,142,5,23.133333333333333
Female,f11,142,6,17.25
Female,f11,142,7,44.61666666666667
Female,f11,142,8,44.483333333333334
Female,f11,142,9,47.75
Female,f11,142,10,35.88333333333333
Female,f11,142,11,9.933333333333334
Female,f11,142,12,13.3
Female,f11,142,13,13.216666666666667
Female,f11,142,14,7.666666666666667
Female,f11,142,15,11.0
Female,f11,142,16,2.816666666666667
Female,f11,142,17,4.216666666666667
Female,f11,142,18,4.016666666666667
Female,f11,142,19,20.933333333333334
Female,f11,142,20,2.6333333333333333
Female,f11,142,21,28.3
Female,f11,142,22,5.35
Female,f11,142,23,9.5
Female,f11,143,0,31.21720660891042
Female,f11,143,1,29.083333333333332
Female,f11,143,2,38.266666666666666
Female,f11,143,3,34.28333333333333
Female,f11,143,4,2.55
Female,f11,143,5,18.483333333333334
Female,f11,143,6,21.616666666666667
Female,f11,143,7,28.883333333333333
Female,f11,143,8,38.1
Female,f11,143,9,19.283333333333335
Female,f11,143,10,22.4
